noise_label,algorithm,runs,median_best_true_f,iqr_best_true_f,q1_best_true_f,q3_best_true_f,feasible_rate
constant_sigma_0.1883,ARS,50,-0.7211293959689827,0.0170431164100322,-0.7289914471746302,-0.711948330764598,1.0
constant_sigma_0.1883,GA,50,-0.721559398373808,0.02520224139484939,-0.7271705609780752,-0.7019683195832258,1.0
constant_sigma_0.1883,SA,50,-0.7166347269765719,0.06575854857844299,-0.7276353950608829,-0.6618768464824399,1.0
hetero,ARS,50,-0.7171641726598943,0.02483689328960126,-0.7280957882563119,-0.7032588949667107,1.0
hetero,GA,50,-0.7124752213088035,0.028144936616742666,-0.7242182508882173,-0.6960733142714747,1.0
hetero,SA,50,-0.6909328723465058,0.06381956487906393,-0.723045626115911,-0.6592260612368471,1.0
