algorithm,parameter,value,run,seed,best_true_f,x1,x2,feasible,evaluations
SA,initial_temp,0.2,0,20260602,-0.7198727737655652,0.834411514312097,0.5511419279853358,1,2000
SA,initial_temp,0.2,1,20261611,-0.7274526931140171,0.8498473700076093,0.5270288869608092,1,2000
SA,initial_temp,0.2,2,20262620,-0.7159351911940139,0.8567545820930292,0.5157243314626515,1,2000
SA,initial_temp,0.2,3,20263629,-0.6671728513584738,0.8126866908344677,0.4795982859497395,1,2000
SA,initial_temp,0.2,4,20264638,-0.5466702056903514,0.7732573519317176,0.5526265571693484,1,2000
SA,initial_temp,0.2,5,20265647,-0.7272730166426403,0.8500286327259737,0.5267364839708861,1,2000
SA,initial_temp,0.2,6,20266656,-0.7211274721442142,0.8350984212888215,0.5501005605895326,1,2000
SA,initial_temp,0.2,7,20267665,-0.7270477508212795,0.8393373699566551,0.5436108712988041,1,2000
SA,initial_temp,0.2,8,20268674,-0.7176739441553693,0.8333009006659061,0.5528196893647961,1,2000
SA,initial_temp,0.2,9,20269683,-0.7288915025827151,0.8416032902620457,0.540096196820621,1,2000
SA,initial_temp,0.5,0,20261602,-0.7293591519582714,0.8471579339361994,0.5313411662660347,1,2000
SA,initial_temp,0.5,1,20262611,-0.7263611679780213,0.8508635758830975,0.5253866911479853,1,2000
SA,initial_temp,0.5,2,20263620,-0.665391009437946,0.817514337241576,0.575908246515421,1,2000
SA,initial_temp,0.5,3,20264629,-0.7024956987997986,0.8241154878327049,0.5594616994885078,1,2000
SA,initial_temp,0.5,4,20265638,-0.7198188193441892,0.8549802887803513,0.5186604918413075,1,2000
SA,initial_temp,0.5,5,20266647,-0.712723811906267,0.8311075731196288,0.556111681142557,1,2000
SA,initial_temp,0.5,6,20267656,-0.7293308215382549,0.8424335437485947,0.5388002638893048,1,2000
SA,initial_temp,0.5,7,20268665,-0.7298756352638258,0.8448562275816095,0.534993415582446,1,2000
SA,initial_temp,0.5,8,20269674,-0.6635126668181514,0.8050543384453113,0.48917273596366145,1,2000
SA,initial_temp,0.5,9,20270683,-0.691463073172625,0.8240210356366897,0.5665592050511906,1,2000
SA,initial_temp,1.0,0,20262602,-0.7295921554053628,0.8465575500704151,0.5322972049699084,1,2000
SA,initial_temp,1.0,1,20263611,-0.7298681611911146,0.8445541507451024,0.5354701545924092,1,2000
SA,initial_temp,1.0,2,20264620,-0.6974147822780505,0.825764842055119,0.5640145615369203,1,2000
SA,initial_temp,1.0,3,20265629,-0.7127868163844882,0.8311334353534938,0.5560730281514288,1,2000
SA,initial_temp,1.0,4,20266638,-0.7235497685377112,0.8529018940145374,0.5220712204157731,1,2000
SA,initial_temp,1.0,5,20267647,-0.6242944723272794,0.8092466150312724,0.5874690766844053,1,2000
SA,initial_temp,1.0,6,20268656,-0.6482261573901402,0.8138542301539246,0.581069094050409,1,2000
SA,initial_temp,1.0,7,20269665,-0.7287847857667137,0.8482058060593258,0.5296667920185757,1,2000
SA,initial_temp,1.0,8,20270674,-0.5849718522522327,0.8024832210904689,0.5966746851243696,1,2000
SA,initial_temp,1.0,9,20271683,-0.7294030384067602,0.8470573863267068,0.5315014433370508,1,2000
SA,initial_temp,2.0,0,20263602,-0.6967568306988219,0.8299744027695156,0.482505133104411,1,2000
SA,initial_temp,2.0,1,20264611,-0.6234634572030482,0.7876031184192265,0.5134490886540113,1,2000
SA,initial_temp,2.0,2,20265620,-0.6468987518373202,0.8135853375122197,0.5814455250366346,1,2000
SA,initial_temp,2.0,3,20266629,-0.6742172136364151,0.8683738551996285,0.4959101204913395,1,2000
SA,initial_temp,2.0,4,20267638,-0.669390172429739,0.8693530071425475,0.49419161159636227,1,2000
SA,initial_temp,2.0,5,20268647,-0.7120516759764663,0.8308344162625895,0.5565196966447836,1,2000
SA,initial_temp,2.0,6,20269656,-0.7203277201517713,0.8346555114356138,0.550772346101503,1,2000
SA,initial_temp,2.0,7,20270665,-0.7218657498110734,0.8355249692833305,0.5494524781126113,1,2000
SA,initial_temp,2.0,8,20271674,-0.7262875660031458,0.8509258773165946,0.5252857806118338,1,2000
SA,initial_temp,2.0,9,20272683,-0.7297105941692255,0.8435154315633636,0.5371049401322543,1,2000
SA,cooling_rate,0.985,0,20270602,-0.5882236543368816,0.8820420809148052,0.47117063522197566,1,2000
SA,cooling_rate,0.985,1,20271611,-0.7220479201013359,0.8537985101827689,0.5206035958478239,1,2000
SA,cooling_rate,0.985,2,20272620,-0.5921629234561333,0.8036632927838697,0.5950842896865856,1,2000
SA,cooling_rate,0.985,3,20273629,-0.6706295133640737,0.8187119582308641,0.5742044317573523,1,2000
SA,cooling_rate,0.985,4,20274638,-0.7215289224808689,0.8315871696471315,0.5000272360329608,1,2000
SA,cooling_rate,0.985,5,20275647,-0.7278278056366685,0.840162749422437,0.5423343567237202,1,2000
SA,cooling_rate,0.985,6,20276656,-0.6449783872267789,0.873782824576396,0.4863163327252078,1,2000
SA,cooling_rate,0.985,7,20277665,-0.725201240896761,0.8517793253004299,0.5239007358180979,1,2000
SA,cooling_rate,0.985,8,20278674,-0.7240348278211175,0.8369029579871313,0.5473512938802555,1,2000
SA,cooling_rate,0.985,9,20279683,-0.7084172342989545,0.8294346505004307,0.5586037598774539,1,2000
SA,cooling_rate,0.99,0,20271602,-0.6943039175786954,0.8637335489367777,0.5039487637062712,1,2000
SA,cooling_rate,0.99,1,20272611,-0.7239877181859227,0.8368706118175345,0.5474007481508821,1,2000
SA,cooling_rate,0.99,2,20273620,-0.7295094327983968,0.8467920892721369,0.5319240148236677,1,2000
SA,cooling_rate,0.99,3,20274629,-0.6917766998999505,0.864122352750595,0.5021379766896822,1,2000
SA,cooling_rate,0.99,4,20275638,-0.723871955272807,0.8367916574437124,0.5475214352266081,1,2000
SA,cooling_rate,0.99,5,20276647,-0.717545798270874,0.8332392629191444,0.5529125886882674,1,2000
SA,cooling_rate,0.99,6,20277656,-0.6928685179502195,0.8641041022355561,0.5033131237109594,1,2000
SA,cooling_rate,0.99,7,20278665,-0.6535362456194774,0.8149485550017275,0.5795333059459106,1,2000
SA,cooling_rate,0.99,8,20279674,-0.7297858684362857,0.8458056617205959,0.5334911270127977,1,2000
SA,cooling_rate,0.99,9,20280683,-0.7266075934052901,0.8506500166567142,0.5257323931069225,1,2000
SA,cooling_rate,0.995,0,20272602,-0.7285328058023136,0.8485729932529219,0.5290783260744827,1,2000
SA,cooling_rate,0.995,1,20273611,-0.7293847593801047,0.8470998128023924,0.5314338219855334,1,2000
SA,cooling_rate,0.995,2,20274620,-0.7104308657355425,0.8588786106620736,0.5121791992527481,1,2000
SA,cooling_rate,0.995,3,20275629,-0.6909859685806939,0.8213183510922933,0.5648372898167159,1,2000
SA,cooling_rate,0.995,4,20276638,-0.6699760637399599,0.8692363502794279,0.4943967711796866,1,2000
SA,cooling_rate,0.995,5,20277647,-0.7259995429763505,0.8383888702019301,0.5450725661061389,1,2000
SA,cooling_rate,0.995,6,20278656,-0.6943634258389685,0.8248541695076074,0.5653455572001211,1,2000
SA,cooling_rate,0.995,7,20279665,-0.6970250812121196,0.8394469625957884,0.48152329961349205,1,2000
SA,cooling_rate,0.995,8,20280674,-0.7282521462422085,0.8489429997893986,0.5284844208759396,1,2000
SA,cooling_rate,0.995,9,20281683,-0.6920111661698702,0.8643219160285839,0.5029389878232522,1,2000
SA,cooling_rate,0.998,0,20273602,-0.7257034687282329,0.8513989006496726,0.5245187432042149,1,2000
SA,cooling_rate,0.998,1,20274611,-0.7181796313523408,0.8557656300849948,0.5173636886806339,1,2000
SA,cooling_rate,0.998,2,20275620,-0.7105345996062435,0.8588416732131413,0.5122411349671672,1,2000
SA,cooling_rate,0.998,3,20276629,-0.6531355644304322,0.8723852587875165,0.4888189442423829,1,2000
SA,cooling_rate,0.998,4,20277638,-0.6816112634940502,0.821383483041033,0.5703763439934909,1,2000
SA,cooling_rate,0.998,5,20278647,-0.7332593408062817,0.8402281789014369,0.5165856368511975,1,2000
SA,cooling_rate,0.998,6,20279656,-0.7113695135693767,0.8364669769574102,0.4904419762771836,1,2000
SA,cooling_rate,0.998,7,20280665,-0.5416239288998234,0.8876310138868374,0.4605552987277697,1,2000
SA,cooling_rate,0.998,8,20281674,-0.689299574357298,0.8649946212153885,0.5017811328342735,1,2000
SA,cooling_rate,0.998,9,20282683,-0.6111663020549511,0.8789516301498952,0.47691092654377515,1,2000
SA,step_size,0.08,0,20280602,-0.7297559969538178,0.843711829741889,0.5367963751308253,1,2000
SA,step_size,0.08,1,20281611,-0.4102556907344789,0.49220491155616986,0.8704793650856882,1,2000
SA,step_size,0.08,2,20282620,-0.6843047810488159,0.8661758724025452,0.4997392900980366,1,2000
SA,step_size,0.08,3,20283629,-0.6189368222924772,0.8651334282090324,0.4613029630112027,1,2000
SA,step_size,0.08,4,20284638,-0.6888256384760234,0.8513568272912915,0.48196196417523446,1,2000
SA,step_size,0.08,5,20285647,-0.7279573071860118,0.8403139668888981,0.5421000249506025,1,2000
SA,step_size,0.08,6,20286656,-0.6636598451595588,0.8015767761317941,0.4976022466834187,1,2000
SA,step_size,0.08,7,20287665,-0.7296521757619969,0.8463648460596073,0.5326035555218323,1,2000
SA,step_size,0.08,8,20288674,-0.6935131787903135,0.8639386111676237,0.503597136741024,1,2000
SA,step_size,0.08,9,20289683,-0.5611484512816429,0.8853833514254201,0.46486161491210587,1,2000
SA,step_size,0.14,0,20281602,-0.6991555462337259,0.8624205782995463,0.5061924003039519,1,2000
SA,step_size,0.14,1,20282611,-0.724110798255198,0.8369553887265845,0.5472711186254323,1,2000
SA,step_size,0.14,2,20283620,-0.6400254335076883,0.7928646954319613,0.5467772565681048,1,2000
SA,step_size,0.14,3,20284629,-0.6538577482873029,0.8150158155342145,0.5794387115382429,1,2000
SA,step_size,0.14,4,20285638,-0.6107694931723462,0.8232464377755049,0.44926141056489716,1,2000
SA,step_size,0.14,5,20286647,-0.5788596342020838,0.8014965747320861,0.5979993651273665,1,2000
SA,step_size,0.14,6,20287656,-0.6906936214649926,0.8646517643361984,0.5023717014624723,1,2000
SA,step_size,0.14,7,20288665,-0.674521404765044,0.8196317117887603,0.5728907897935056,1,2000
SA,step_size,0.14,8,20289674,-0.721211832096724,0.8351462582667601,0.5500279332025148,1,2000
SA,step_size,0.14,9,20290683,-0.5680014102911084,0.7997775939300668,0.6002964269820646,1,2000
SA,step_size,0.2,0,20282602,-0.7244372172401929,0.8371845868564846,0.5469204398538579,1,2000
SA,step_size,0.2,1,20283611,-0.7238454036050244,0.8527130151570677,0.5223796644029538,1,2000
SA,step_size,0.2,2,20284620,-0.7033624719698626,0.8594515403767005,0.5035085902486879,1,2000
SA,step_size,0.2,3,20285629,-0.7018594055510944,0.8271648074162002,0.5619594125665307,1,2000
SA,step_size,0.2,4,20286638,-0.7235389208333975,0.852908738108528,0.5220600391316296,1,2000
SA,step_size,0.2,5,20287647,-0.7222504676924413,0.8536830455155816,0.5207929125854551,1,2000
SA,step_size,0.2,6,20288656,-0.7273060733183822,0.849995771506986,0.526789510545003,1,2000
SA,step_size,0.2,7,20289665,-0.7105189958210553,0.8588472358721104,0.5122318083005345,1,2000
SA,step_size,0.2,8,20290674,-0.7295130223396101,0.8467825028556955,0.5319392755356988,1,2000
SA,step_size,0.2,9,20291683,-0.7292569454336324,0.8281159447715766,0.5141618007413978,1,2000
SA,step_size,0.3,0,20283602,-0.7182375753902328,0.8362082212861781,0.4957983526575012,1,2000
SA,step_size,0.3,1,20284611,-0.6311235287914357,0.8524728420166938,0.4568721588833654,1,2000
SA,step_size,0.3,2,20285620,-0.724193083194497,0.852484748040156,0.5227520964653436,1,2000
SA,step_size,0.3,3,20286629,-0.7201398493811755,0.8548189927055345,0.5189262854297281,1,2000
SA,step_size,0.3,4,20287638,-0.7203771154046504,0.8346823365519381,0.5507316924312574,1,2000
