algorithm,run,seed,noise_label,best_true_f,best_observed_f,x1,x2,feasible,evaluations,param_initial_temp,param_cooling_rate,param_step_size,param_min_temp,param_population_size,param_elite_fraction,param_crossover_rate,param_mutation_step,param_mutation_decay,param_min_mutation_step,param_tournament_size,param_initial_step,param_min_step,param_base_samples,param_max_samples,param_ambiguity_z
GA,11,20371704,hetero,-0.7262034500004111,-1.5109658822274397,0.8509962897043253,0.52517170040804,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,11,20471707,hetero,-0.7297941876868702,-0.9176779214545681,0.8439085322436258,0.5364870820498933,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,12,20272710,hetero,-0.6858495998784424,-1.3800437021454828,0.8658179616823961,0.5003591282550373,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,12,20372713,hetero,-0.5681933589188916,-1.2747852089794662,0.7998076297691261,0.6002564080150186,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,12,20472716,hetero,-0.7072361280704316,-1.1731106753524605,0.859970367624365,0.5103439691110445,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,13,20273719,hetero,-0.6691272052597051,-1.2771687867786214,0.8291324933475557,0.4689834178376968,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,13,20373722,hetero,-0.7074406263548424,-1.2823024496098374,0.8129754349303588,0.515947267700293,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,13,20473725,hetero,-0.6746630673082645,-1.1211559291357442,0.8186510334783144,0.477498247293207,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,14,20274728,hetero,-0.4190613460050409,-1.0778433587397054,0.47669526197481393,0.8790686134829085,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,14,20374731,hetero,-0.5400030548910805,-1.3215973035165827,0.7955143551970587,0.6059347412679092,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
